date,AQI
2021-07-06,26.940237047898336
2021-07-07,45.510755142293604
2021-07-08,44.773016625032305
2021-07-09,29.63458201058201
2021-07-10,48.81998964803313
2021-07-11,106.2801446617767
2021-07-12,193.44764761904764
2021-07-13,37.15945009347499
2021-07-14,24.336545159409326
2021-07-15,23.828195329087052
2021-07-16,31.87125094631513
2021-07-17,21.784739084132056
2021-07-18,30.347200749590066
2021-07-19,32.36059201141227
2021-07-20,37.27045908183633
2021-07-21,36.54416906130268
2021-07-22,48.67975018786312
2021-07-23,44.36770451770452
2021-07-24,36.71410539215687
2021-07-25,38.874504181600955
2021-07-26,38.82273397199705
2021-07-27,38.72535009519742
2021-07-28,33.525671675774134
2021-07-29,38.71827719121837
2021-07-30,34.86053119209388
2021-07-31,36.735323420826376
2021-08-01,258.25257259296995
